,id,created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count,negative,neutral,positive,sentiment_score,sentiment
8464,D8465,2022-07-06 10:33:26,pov fail convers minigam elder scroll oblivion,,[],[],37,648,,,902256170,hum_dunkin,hum dunkin,923,1460,129393,False,22942,0.248,0.752,0.0,-0.5106,negative
8465,D8466,2022-07-06 10:31:33,person heal neg mindset could encount setba leo,,[],[],0,0,,,233549272,Dunkin_Hynes247,SUPER MOIST,124,53,10,False,5009,0.236,0.764,0.0,-0.5719,negative
8466,D8467,2022-07-06 10:30:01,exchang gunfir sent bullet dunkin chelsea nearli hit custom,,[],[],0,0,,,19665244,boston25,Boston 25 News,6603,357720,5027,True,340273,0.0,1.0,0.0,0.0,neutral
8467,D8468,2022-07-06 10:28:47,walk corner dunkin 6 block starbuck,,[1074771715241197569],['_essscee'],0,0,1.0747717152411976e+18,_essscee,2227529095,jeezvs,Joestar,203,220,7981,False,8211,0.137,0.863,0.0,-0.2263,negative
8468,D8469,2022-07-06 10:28:39,dunkin would like ice capp oh good morn happi wednesday,,[1466247250242322433],['ChelseaEbbNFlow'],0,1,1.4662472502423224e+18,ChelseaEbbNFlow,63124338,HoangDuy031,Raymond Hoang/ 黄彝隆,780,286,22949,False,2191,0.055,0.511,0.434,0.9207,positive
8469,D8470,2022-07-06 10:27:37,first mistak go dunkin,,[2227529095],['jeezvs'],0,0,2227529095.0,jeezvs,1074771715241197569,_essscee,Shantel 💭,345,2468,17754,False,19049,0.286,0.714,0.0,-0.34,negative
8470,D8471,2022-07-06 10:26:58,dunkin cold brew yesterday almost die,,[1074771715241197569],['_essscee'],0,0,1.0747717152411976e+18,_essscee,2227529095,jeezvs,Joestar,203,220,7981,False,8211,0.292,0.708,0.0,-0.5118,negative
8471,D8472,2022-07-06 10:26:41,bullet hole still visibl window dunkin washington ave chelsea stray bullet hit miss man sit insid tuesday afternoon,nbc10boston,[],[],1,5,,,38511437,MonicaNBCBoston,Monica Madeja NBC10 Boston,1731,5234,3898,True,11935,0.084,0.916,0.0,-0.296,negative
8472,D8473,2022-07-06 10:24:47,work dunkin donut put melon season foot,,[],[],0,0,,,727039238697443329,realbryn,Bryn Anderson,3,12,0,False,320107,0.0,1.0,0.0,0.0,neutral
8473,D8474,2022-07-06 10:20:11,idea wtf said actual got dunkin right 5 open got usual larg cold brew 2 shot espresso 2 pump mocha light ice get coffe lol got flow bowl lung good,,[1481780972899258372],['Sammy_1999_'],0,1,1.4817809728992584e+18,Sammy_1999_,1322786274147663872,Raccoon_Tits,Raccoon Tits 🦝,964,1458,105546,False,64985,0.024,0.821,0.155,0.868,positive
8474,D8475,2022-07-06 10:19:59,im think dunkin breakfast,,[],[],0,0,,,1254641489029857283,kxbangaa,big.kiahh,88,68,1826,False,7857,0.0,1.0,0.0,0.0,neutral
8475,D8476,2022-07-06 10:17:39,harri provid fan wait line show waterbottl dunkin donut,,[1502784704331886592],['imisshrry'],0,2,1.5027847043318866e+18,imisshrry,1256637642881589248,haloslhh,"Hayaa♡'s Louis,Back | LTWT",2112,3993,133936,False,120233,0.0,1.0,0.0,0.0,neutral
8476,D8477,2022-07-06 10:12:35,stray bullet nearli hit dunkin custom yesterday chelsea latest,,"[4746090250, 38511437]","['NBC10Boston', 'MonicaNBCBoston']",2,0,,,305365893,RaulNBCBoston,Raul Martinez,6555,14804,14950,True,81124,0.0,1.0,0.0,0.0,neutral
8477,D8478,2022-07-06 10:10:50,oh god dunkin put swirl instead syrup j drink sugar burn,,[],[],0,0,,,2797236302,sosoredi,sophie,77,28,265,False,136,0.0,0.877,0.123,0.2732,positive
8478,D8479,2022-07-06 10:10:19,stop dunkin breakfast work famili stop get food coffe start road trip never jealou,,[],[],0,0,,,240971718,itsbrookieyall,Brooke,525,930,14745,False,55893,0.228,0.772,0.0,-0.7695,negative
8479,D8480,2022-07-06 10:08:23,mind heat,hydrate,"[33057154, 920361, 8771022]","['jeffsheehan', 'dunkin', 'dunkindonuts']",0,1,33057154.0,jeffsheehan,3226248627,DonnyoSpeaks,Don O'Connor : Double Dosed + Boosted💉,4696,4287,204744,False,194456,0.0,1.0,0.0,0.0,neutral
8480,D8481,2022-07-06 10:07:15,anybodi want send carmel ice coffe dunkin haha make keep shit hand got need yall,,[],[],0,6,,,1466247250242322433,ChelseaEbbNFlow,Chelseanicole (Sage Bot# 12),3307,2896,4602,False,3842,0.113,0.689,0.199,0.3071,positive
8481,D8482,2022-07-06 10:04:27,dunkin bagel bite lit lol,,[282212059],['Tmuhneyy'],0,1,282212059.0,Tmuhneyy,408577756,Mp_NettyXo,VibesWithChelle💋,1178,823,19628,False,35464,0.0,0.763,0.237,0.4215,positive
8482,D8483,2022-07-06 10:03:38,eyo love dunkin peopl like musk bezo archetyp millionair evil kind shine light life save cost save pharmaci real mvp,,[16228398],['mcuban'],0,0,,,376651872,IAmLemau,Lemau the Shampoofan,118,215,2686,False,49247,0.0,0.866,0.134,0.6038,positive
8483,D8484,2022-07-06 10:02:54,dunkin starbuck today hmmm,,[],[],0,0,,,282212059,Tmuhneyy,👑 Tiara 8/23,1775,2370,17180,False,29395,0.0,1.0,0.0,0.0,neutral
8484,D8485,2022-07-06 10:01:33,hate find eat dunkin,,[],[],0,0,,,1195792798357839872,amil58317917,amil,0,5,3,False,135801,0.316,0.684,0.0,-0.5719,negative
8485,D8486,2022-07-06 10:00:06,bizarr peopl shoot like wild wild west said anthoni carbon goe dunkin everi morn cup coffe chelsea massachusett,,[],[],0,1,,,9907172,NECN,NECN,341,104174,1596,True,277246,0.053,0.89,0.057,0.0516,positive
8486,D8487,2022-07-06 09:59:44,crave dunkin,,[],[],0,0,,,1481181866,FatherGabe_,G.Baby,1927,2505,65505,False,28435,0.0,1.0,0.0,0.0,neutral
8487,D8488,2022-07-06 09:59:28,friend deliv dunkin 5 30 morn,,[],[],1,2,,,1261458259149537280,Darfanator,Darf || Gremlin,314,247,196,False,585,0.0,0.763,0.237,0.4767,positive
8488,D8489,2022-07-06 09:55:46,case forget year time give favorit drink back instead dunkin wannab refresh,,[30973],['Starbucks'],0,0,30973.0,Starbucks,60500477,Juliana_Reed,Juliana Reed,158,52,551,False,3170,0.079,0.785,0.136,0.3382,positive
8489,D8490,2022-07-06 09:53:09,got annoy ladi dunkin wrote name allen instead alan rememb misheard name adam,,[],[],0,1,,,167648880,okguyadam,Adam,441,242,10003,False,54805,0.102,0.898,0.0,-0.3818,negative
