created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-06-16 17:25:59+00:00,Swear Im dunkin on these hoes on these niggas Im free throwin keef was before his time lmao,[],[],[],0,0,,,121240959,SirJMG,STACKS LOWERY,202,347,18122,False,65968
2022-06-16 17:25:39+00:00,"UPDATE: She quit her McDonald's gig and was working behind the Dunkin counter again this morning ,",[],[],[],0,0,,,1573880288,davetheUseLess,David Jones Wilson (DaveTheUseLess CREEPYPASTA),4,986,297,False,21770
2022-06-16 17:25:25+00:00,already late might aswell get me a bagel frm dunkin,[],[],[],0,0,,,2992789286,sheluvs_glw_,G 🚶🏾‍♂️,315,279,2306,False,9633
2022-06-16 17:24:45+00:00,As a Seattle native I say Dunkin Donuts all day.,[],[1333049564736221184],['theficouple'],0,1,1333049564736221184,theficouple,1392936319592976384,JonathanHulen,Jonathan Hulen,41,127,1897,False,1863
2022-06-16 17:24:20+00:00,"BUY 44% OFF TICKETS NOW MANILOW: HITS 2022 $39 Sat Aug 13, 2022 at Dunkin' Donuts Center, Providence Having sold more than 85 million albums worldwide, Barry Manilow is one of the worlds all-time bestselling recording artists. Hes had an astonishing ,",[],[],[],0,0,,,1206591613,HalfOffBoston,50% Off Boston,359,144,0,False,332
2022-06-16 17:23:32+00:00,"I got way too busy to make lunch today so I typed Dunkins into (just want bagel), and it automatically selected one 16.8 miles away. Theres literally a Dunkins a half mile from my house. I feel so bad for this driver. What a stupid fucking app.",[],[15897147],['Grubhub'],0,18,,,103392633,dellcam,dell cameron,6447,35285,60609,True,100165
2022-06-16 17:21:50+00:00,applied to work at dunkin donuts,[],[],[],0,0,,,1521830806842392581,urbarbiegf,bia ୨୧ edtwt,101,82,1868,False,891
2022-06-16 17:21:45+00:00,Exactly!! That's why they got rid of the second part of the name...it's now just Dunkin,[],[85185421],['LiviSymone'],0,0,85185421,LiviSymone,1528992839496921088,bigasada69,Big Carne,407,44,87,False,1303
2022-06-16 17:21:12+00:00,"RUNNIN DOWN THE COURT, IM DUNKIN ON EM, LISA LESLIE ,",[],[],[],0,0,,,1834802138,osnapitzmario,HIPSSSSSSSSSSAND BODY BODY,578,411,261368,False,127595
2022-06-16 17:19:17+00:00,"organizing his carhaart beanie collection, getting him dunkin' on the way home, keeping him stocked on rogaine, scooping up deals on guitar pedals... the good life",[],[183802975],['pwitterenrique'],0,1,183802975,pwitterenrique,2167929986,halfcafsam,Sam!!!,1235,860,44807,False,31919
2022-06-16 17:18:18+00:00,When is the dunkin cover being released?,[],"[938536317641723904, 50779930]","['swaggolfco', 'petermillar']",0,0,938536317641723904,swaggolfco,134108490,samknotty,samuel knott,178,187,334,False,26706
2022-06-16 17:18:16+00:00,has seen shows in an old Dunkin Donuts,[],"[754293710, 71026122, 756656040834428928]","['JPWARHORSE', 'McDonalds', 'indiewrestling']",0,3,754293710,JPWARHORSE,1382111087844331522,DanChamp4,Big Dan Champion,925,1611,29285,False,11063
2022-06-16 17:17:38+00:00,ok the dunkin creamer with hot coffee is so much better than when its in iced coffee. this coming from a person who hasnt had hot coffee in ages.,[],[],[],0,2,,,1293745484767440897,pokebae420,jackie ❤️💙💛,459,168,18039,False,3450
2022-06-16 17:17:25+00:00,", how was this on my fyp immediately after i came back from dunkin",[],[],[],0,1,35101637,nikscene,35101637,nikscene,Nik 🌷🌻 🦋,885,854,79824,False,25288
2022-06-16 17:16:09+00:00,theres nothing like the first sip of an iced tea lemonade from Dunkin,[],[],[],0,0,,,2493138904,thisismk12,mara ♋️,299,49,23273,False,2505
2022-06-16 17:15:51+00:00,This Cake Batter iced coffee from Dunkin lowkey hitting ,[],[],[],0,0,,,42520749,royal_flush2482,Coach K Pack🔥🔥,1523,1456,6200,False,165848
2022-06-16 17:15:27+00:00,Ordered a Dunkin coffee to cure my constipation ,[],[],[],0,0,,,547137966,yoongitzys,perra⁷,5076,6954,24833,False,73578
2022-06-16 17:14:16+00:00,"dunkin order for when you want to be a menace to society ,",[],[],[],0,5,,,1103853854167392257,0livija,earthrabbit 🐰,296,203,23429,False,2388
2022-06-16 17:14:04+00:00,"like bro, why u go to a Dunkin Donuts and dont see a soul Dunkin their donuts",[],[],[],0,1,,,1139362182150393856,luvsixty,⊹_⊹,975,1006,21647,False,16155
2022-06-16 17:13:08+00:00,Western Dunkin Donuts always burn my sandwich ,[],[],[],0,0,,,2647176048,Tammy0123_,Maybe: Tammy😉,302,993,6177,False,77036
2022-06-16 17:11:54+00:00,"I would like to know who has had the cornbread donuts and munchkins please and whether I should have them, thank you. ,",[],[],[],1,5,,,37718165,ronlieber,Ron Lieber,4087,36179,15362,True,29089
